电影名字,播放数量,弹幕数量,追剧数量,投币数量,点赞数量,标签,分数,打分人数,影片时长(分钟),长评数量,短评数量,简介,,,,,,
众神之地,73450000,123000,637000,303000,2869000,人文动物自然,9.8,5056,已完结, 全4集,16,1086,简介：人类一直在探索自然的奥义，我们通过探访各种极致的自然地貌和这片土地上的生命，探寻人、动物、自然的和谐共生之道。这一次我们跨越中国四角的不同生态，通过探寻四种令人敬畏的动物，通过努力感受它们，尝试与天地沟通。它们在远古曾经是图腾，是食物链顶端的动物——森林之王东北虎、海上精灵白海豚、雨林巨无霸亚洲象和雪山使者野牦牛。这四种被称为旗舰物种的动物，它们与天地同生，与人类共存，用特殊的方式帮助人与自然对话。众神之地，是那些神奇沟通的发生之地。,,,,,
川味4,17000,17,19000,51,947,,暂无评分,评分人数不足,连载中,0,0,简介： 《川味第四季》，彬歌导演及其团队将继续深入乡野市井，循着炊烟与酒香，再一次用镜头诠释人与食物的因缘牵绊。以美食为线索，娓娓道出这人间烟火里的百般滋味，通过乡愁乡味、市井小吃、江湖菜、私房菜以及曾经的官府菜，拨开这“百菜百味”里“味”的奥秘，并从中感受人们生活景象的变化，食物本身与人类味觉的不断调和，以及人们如何食其味而知其所以然。,,,,,,
豪勇七蛟龙,777000,12000,40000,2291,12000,动作冒险,9,493,133,0,106,简介：故事发生在位于罗斯克里克的一座矿业小镇上，艾玛和丈夫马修在这里过着与世无争的生活，某日，镇里的恶霸鲍勃枪杀了马修，没有人敢追究他的责任，只有幸存的艾玛在心里默默的发誓，一定要让鲍勃血债血偿。,,,,,,
英雄之路,39186000,87000,378000,237000,901000,人文历史,9.6,3548,已完结, 全6集,5,537,简介： 纪录片《英雄之路》是一部历史题材结合风格音乐的创新纪录剧，影片以英雄的独有特质进行展开，鲜活多面的人物故事为核心，电影级的视听表达，结合风格化的音乐，将“燃”、热血、励志的风格贯穿整季。,,,,,
我是你的瓷儿,26588000,19000,131000,215000,1211000,人文,9.7,725,已完结, 全5集,3,218,简介：《我是你的瓷儿》梦回景德镇，带你走入玲琅满目的瓷器世界。当 “新国粹”与新一代制瓷人相遇，会产生怎样的化学反应？当传统文化与当代艺术碰撞，会有怎样意想不到的火花？在千年瓷都景德镇，有一门手艺被发挥到极致，从简单的单色釉，繁衍到青花、斗彩、粉彩再拓展到现代艺术，从无到有，由简入繁，呈古创新。在手工瓷发展的时光轴上，一代代手艺人留下了不曾褪去的手印。如同瓷艺世界的繁茂辉煌，他们的故事也颇有味道。这是瓷儿的故事，也是中国的故事。,,,,,
新猫和老鼠 第二季,6921000,11000,3182000,8028,45000,搞笑少儿,9.4,569,连载中,1,125,简介：在该系列中，猫和老鼠在现代化的环境中相遇，讲述了全新的故事和全新的人物，更是进入了从中世纪城堡到一个疯狂科学家的实验室奇妙的世界。,,,,,,
我们是这样长大的,34834000,34000,241000,88000,715000,动物萌宠,9.7,1547,已完结, 全9集,14,369,简介： 宠物在人类生活中究竟发挥了什么样的作用？这个概念随着时间推移和环境变化，发生了很大的变化。比如，在以农耕文明为主的地区，它是人类的工作助手，是在同一屋檐下的依附关系。但进入都市后，它转身成为家庭的座上宾，是和人类有着深厚情感连接的朋友和亲人。通过不同的样本，去展现宠物在中国当下生存、成长的状态。记录它们不同的成长轨迹，刻画它们生命中某一阶段的故事，展现它们眼中的世界和各自的命运。同时，结合不同地域的自然、人文风貌，以及季节流动的韵律，达到将情感和科普有机熔炼一炉的效果。,,,,,
超时空鉴定,30950000,41000,378000,50000,361000,历史科技社会罪案,9.7,1948,已完结, 全6集,0,352,简介：在现代医学、解剖学尚未出现的时期，中国古代的法医们是如何破解一个个死亡密码的？法医系列纪录片《超时空鉴定》将带大家揭开中国古代法医的神秘面纱，同时，本片还将秉承科学的态度，用现代法医学技术对古代检验方法加以佐证和提升。,,,,,
心灵密码,13000,3,19000,30,813,,暂无评分,评分人数不足,连载中,0,0,简介： 心理实验类纪录片，以硬核心理学效应为核心内容，用主持人讲述+情景再现经典心理学实验的形式，解析社会现象，洞察真实的人性。,,,,,,
柯南·奥布莱恩永不止步,82000,32,987,116,1105,人文社会,暂无评分,评分人数不足,连载中,0,1,简介：随着NBC电视台临时撤掉了由柯南·奥布莱恩主持的脱口秀节目《扣扣今夜秀》，他在经历了大肆宣扬的高调之后，最终决定辗转美国的32座城市，进行音乐喜剧节目的巡演活动，单纯的为了磨练自己的表演技巧，可以说经历的是有如魔鬼训练营一样残酷、繁重的舞台表演任务。,,,,,,
科学未解之谜,9144000,16000,107000,46000,274000,科技宇宙,9.4,174,连载中, 每周三晚19点，大会员抢先一集,0,28,简介：我们以为科学已能解释所有的答案，但事实远非如此。在这个最新科学系列节目中，BBC Studios科学部将直面现代科学中仍未解开的谜团，包括太空奥秘、地球科学奥秘和考古奥秘等。每个独立的故事内容将会通过令人惊叹的视觉特效，通过分析最新的科学见解，找寻真正的答案，并呈现一个更广阔的宇宙景象。,,,,,
杀戮场,150000,1360,3697,88,3802,恐怖惊悚,暂无评分,评分人数不足,88,0,10,简介：一对夫妇野营旅行时，碰见了正在行凶的罪犯，并在准备不声不响离开时绊倒了的悲惨故事……,,,,,,
生死拍档,31000,34,1188,28,3027,动作,暂无评分,评分人数不足,90,0,2,简介：美国联邦调查局驻香港办事处负责人纳尔逊从手下监听到的电话里得到一份重要情报，一项印制假美元模具的交易近日即将举行。监听者是探员高雄。此时，高雄和他的拍档华克已开始调查，初步查出一个叫洪宝的属于“新安帮”的歹徒。他们继续调查时，遭“新安帮”的袭击，华克以身殉职，高雄侥幸逃脱。,,,,,,
你好！卟卟2,3543,1,106,2,48,少儿,暂无评分,评分人数不足,已完结, 全26话,0,1,简介：在生机盎然的小镇里，有一群幸福安逸的居民，还有一所特别的幼儿园。他们在人工智能巴士歌德的陪伴下，快乐成长，探索世界。每一天，歌德都会陪伴小朋友们开动脑筋，运用已有的知识，勇敢探寻生活的奥秘。,,,,,
你好！卟卟3,3436,--,106,3,51,少儿,暂无评分,评分人数不足,已完结, 全26话,0,1,简介：在生机盎然的小镇里，有一群幸福安逸的居民，还有一所特别的幼儿园。他们在人工智能巴士歌德的陪伴下，快乐成长，探索世界。每一天，歌德都会陪伴小朋友们开动脑筋，运用已有的知识，勇敢探寻生活的奥秘。,,,,,
你好！卟卟4,2801,--,106,3,46,少儿,暂无评分,评分人数不足,已完结, 全26话,0,1,简介：在生机盎然的小镇里，有一群幸福安逸的居民，还有一所特别的幼儿园。他们在人工智能巴士歌德的陪伴下，快乐成长，探索世界。每一天，歌德都会陪伴小朋友们开动脑筋，运用已有的知识，勇敢探寻生活的奥秘。,,,,,
三毛流浪记,613000,5529,14000,3219,9136,少儿,9.9,479,已完结, 全26话,1,151,简介：故事讲述了孤儿三毛的辛酸遭遇。在解放前的上海，故事中的三毛按祖籍是江苏省苏州市人，故事讲述的是旧上海流浪的儿童时期三毛，他的母亲是大上海夜总会的一位舞女，与客人有关系才生下三毛，后因遭到迫害母亲惨死，没有亲人，无家可归，衣食无着。吃贴广告用的浆糊，睡在垃圾车里，冬天就以破麻袋披在身上御寒。为了生存，他卖过报，拾过烟头，帮别人推黄包车，但总是受人欺侮，但他挣到的钱连吃顿饱饭都不够。只有与他命运相同的流浪儿关心他，给他温暖。,,,,,
特工兔,2956,--,111,3,50,少儿,暂无评分,评分人数不足,已完结, 全19话,0,1,简介：极道兔、武道兔、雷道兔是兔子星球上三名兔子特工。兔子国国师发现邻国的萝卜星球有种强大的能量可以控制兔子星球，于是隐瞒真相，派三个特工兔去萝卜星球寻找。无意中兔公主发现了国师的秘密，于是，她逃出皇宫寻找特工兔。三个特工兔也渐渐发现了国师的真正意图，与国师展开斗争，最后，救出了兔公主，兔子星球得到了和平。,,,,,
特工兔之新的冒险,2201,--,111,2,40,少儿,暂无评分,评分人数不足,已完结, 全20话,0,0,简介：特工兔们踏上了拯救兔子星球的旅程。为了对付强大的黑国师，特工兔们经历了各种冒险，最终得到了据说能够战胜黑国师的地狱冥珠。其实，真正的收获是，特工兔们在寻找宝物的过程中，取得巨大进步。,,,,,
特工兔之神秘的网站,5067,2,111,4,208,少儿,暂无评分,评分人数不足,已完结, 全20话,0,0,简介：地球村的平静再一次被打破!奇怪的网站，消失的居民，怪事一桩一桩的出现。特工兔们深入虎穴，冒着风险找到了"灭"组织的老窝。如何才能在不伤害孩子们的情况下打败"灭"成了难题。特工兔让孩子们心中的光芒汇聚在一起，散发出前所未有的能量。,,,,,
扬名立万,70875000,224000,813000,279000,493000,悬疑喜剧,9.6,36308,123,147,9847,简介：月黑风高之夜，一群电影人被秘密召集到一起，欲将轰动一时的血案翻拍成电影，借此扬名立万。殊不知他们正身处案发现场，并步步陷入一个巨大迷局之中，而凶手就在他们中间……伴随着利欲熏天的创作风暴，案件背后的故事似乎也更加扑朔迷离，戏中戏、案中案、局中局、人外人，环环相扣，一场野心与良心的较量愈演愈烈。究竟是命悬一线，还是另有惊天逆转？爱与温暖的血色花又能否从快将干涸的血河中终极绽放？一切都有待揭开。,,,,,,
威震八方,126000,1450,4331,121,4768,动作犯罪,暂无评分,评分人数不足,86,0,23,简介：俗话说恶人自有恶人磨。恶霸汉密尔顿纠集了一帮恶棍在华盛顿州的一个小镇横行多年、压榨乡邻，甚至连当地的警察也拿他们没有办法。这天，特种兵克里斯退役回到了家乡小镇。,,,,,,
乐业中国,190000,462,1724,622,18000,社会,9.5,117,连载中,4,110,简介：每期讲述一位中国职场人跨越山海、机缘邂逅自己理想的职业，并在职业中找到人生乐趣，实现自我价值的真实故事。全篇试图展现大时代背景下，一个个平凡奋斗者将人生梦想融入到实现中华民族伟大复兴的中国梦当中，并在奋斗中寻找到人生的价值感、使命感、幸福感的鲜活个例，呈现了当代中国职场人人生选择的无限多样性与可能性。 《乐业中国》第一季的职场故事，西至祖国新疆的阿勒泰草原，南到云南金沙江畔的小山村…镜头穿行在960万平方千米的大好山河，记录了不同行业、不同年龄的6组普通人的真实职场人生。,,,,,,
万圣街,21517000,59000,456000,80000,414000,漫画改奇幻搞笑日常,9.8,3897,已完结, 全24话,5,1057,简介：西方神仙妖怪也流行在人间合租？单纯可爱的小恶魔泥泥入住万圣街公寓的1031室，他的室友们可都不是一般人：慵懒搞怪、主业是游戏主播的吸血鬼艾勒；喝凉水都塞牙、广场舞大神狼人大毛；严肃古板的天使房东林恩和他天真烂漫的妹妹莉莉等等。邪恶势力紧追不舍，欢乐温馨与神秘悬疑交织的日常喜剧拉开序幕！,,,,,
斗鸡,70000,315,1562,48,3201,剧情,暂无评分,评分人数不足,89,0,8,简介：青年农民田来福与同村的姑娘孙春喜相爱，却因贫穷受到春喜母女的轻视。春喜之母孙大婶以一万块钱的代价承诺将女儿嫁给二憨子，惹得两个男人为了老婆大打出手。某天，来福偶然在地里得到一只骁勇善战的斗鸡，在春喜母女的怂恿下，他战战兢兢走进斗鸡场，却没想到连连得胜，很快就凑够了结婚的钱。,,,,,,
神女峰的迷雾,58000,200,1991,41,3039,剧情,暂无评分,评分人数不足,93,0,2,简介：故事发生在1970年代未，正在神女峰写生的女画家赵欣发现有人斗殴，忙向公安局报案。当夜，侦察员姜涧、覃南在崖下发现了陶荣荣的尸体。陶母因骄纵儿子导致其犯罪而不敢认领尸体，不得已，姜涧只好把破案希望寄托在目击者赵欣身上，通过耐心启发，赵欣终于为破案提供了线索。,,,,,,
