电影名字,播放数量,弹幕数量,追剧数量,投币数量,点赞数量,标签,分数,打分人数,影片时长(分钟),长评数量,短评数量,简介,
电影名字,播放数量,弹幕数量,追剧数量,投币数量,点赞数量,标签,分数,打分人数,影片时长(分钟),长评数量,短评数量,简介,
少年侦探,87000,174,1749,128,4130,剧情喜剧,暂无评分,评分人数不足,97,2,9,简介：亚伯·阿普尔鲍姆是一名少年得志的侦探，如今已是31岁的成年人，却只是在处理一些无趣琐碎的案件并且被他最初的身份感所困扰。他的父母对此深感担忧，因为亚伯对与他同龄的人最相关的事情完全不感兴趣——比如经济稳定、成家…,
狂犬惊魂 ,371000,1331,2183,140,14000,恐怖惊悚小说改,暂无评分,评分人数不足,93,0,10,简介：家庭主妇唐娜与丈夫维克关系陷入僵局。某天维克离开，唐娜则带着5岁的儿子泰德来到某汽车旅馆居住。汽车旅馆有一条圣伯纳犬，偶然被蝙蝠咬了一口，竟由此变成嗜血如命的凶残恶犬，它开始向唐娜母子发起了攻击……本片根据史蒂芬•金的同名小说改编,
幸福的错觉,24000,92,109,7,663,剧情,暂无评分,评分人数不足,已完结, 全43集,0,1,简介：本剧是一部唯美情感励志大剧，讲述的是现代都市当中几名年轻男女情感纠缠，并夹杂着两代人之间的爱恨情仇。该剧上演了生死绝恋、换子风波、复仇大戏、追寻真爱等精彩桥段，剧中人物关系也错综复杂。,
怒火救援 ,225000,4926,11000,988,6854,剧情动作惊悚,9.4,354,146,0,73,简介：克雷塞曾是一名特种兵，但退役后的他却常被梦魇惊醒，好友推荐他到墨西哥去担任私人保镖，克雷塞保护的是一名百万富翁的女儿皮塔。一天，皮塔遭到了绑票并遭撕票，怒火中烧的克雷塞决定只身去找绑匪为皮塔报仇。,
怒海沉尸,95000,1341,6282,247,4239,剧情犯罪惊悚,暂无评分,评分人数不足,118,0,12,简介：汤姆是一个穷小子，最近，一桩好差事找上了门，好友菲利普的富豪父亲找到了汤姆，希望他能够替自己找回成日在外风流潇洒的儿子，作为回报，汤姆将得到价值不菲的报酬。循着菲利普的踪迹，汤姆来到了拿布里，见到了菲利普和他的未婚妻玛奇。菲利普纸醉金迷的生活让汤姆十分羡慕，玛奇的美丽和温柔更是摄取了汤姆的心魄，一个邪恶的念头应运而生。,
飞翔的艺术,52000,58,773,122,995,运动,暂无评分,评分人数不足,已完结，共1集,0,5,简介：奥地利Red Bull运动员Travis Rice和他的朋友们正在改写和重新定义所谓不可能滑雪的地方。这群不要命的“疯子”，在世界各地进行着滑雪运动，从阿拉斯加到南美安第斯山脉，从莽莽高山之中到皑皑白雪之上。他们正在尝试体验下一次极限的超越，试图挖掘出未曾踏足的任何一处角落。,
全天候谋杀案调查,2532000,5509,71000,3258,34000,社会罪案,9.5,323,已完结, 全5集,0,34,简介：本系列将带领观众深入犯罪调查的第一线。随着时间的流逝和嫌疑人的出现，庞大的专家团队日以继夜地工作来解决一桩桩重要案件，侦探们拼凑线索，寻找线索，而法医团队则收集关键证据。本片还将深入审判过程，我们将为案件的宣判屏息，带领观众参与最真实的案件破获过程。,
我才不会被女孩子欺负呢 动态漫 第二季,2167000,2646,190000,4870,22000,动态漫搞笑日常校园,9.0,217,已完结, 全22话,0,64,简介：故事讲述的是一名叫“叶麟”的二十八中男生被同班的女生欺负和反欺负的故事。这些女生中有来自小时候欺负他的青梅竹马、有被视为正义魔人的班长、有胆小害羞患有“被迫害妄想症”的白富美学习委员、有身材健美四肢发达但头脑简单的学习委员、有极度腹黑冷血的文艺委员、还有个同母异父的混血妹妹，在这样一群女孩子的夹攻中，男主角如何能独善其身，不被女孩子欺负呢？,
新围棋少年,20453000,190000,277000,109000,291000,原创热血武侠励志,5.4,27351,连载中, 每周日 19:30更新两集,246,10417,简介：一场“明比围棋、暗比刀枪”的正邪对抗在以国家强大、百姓安居乐业为奋斗目标的小明皇、江流儿等人和以穷兵黩武、横征暴敛让百姓处于水深火热为目的的幽王、棋鬼王等人的双方阵营中以火星撞地球般的冲击力迸射出耀眼的光芒。,
小姐好白,125000,1364,4793,268,5094,喜剧犯罪,暂无评分,评分人数不足,109,0,12,简介：黑人警探马库斯和凯文在一次扫毒行动中假扮小店老板将行动搞砸了。为了挽回面子，这两个黑人警探决定伪装成富有的白人姐妹——威尔顿姐妹，亲身引诱企图绑架这两姐妹的穷凶极恶的绑匪现身。,
