电影名字,播放数量,弹幕数量,追剧数量,投币数量,点赞数量,标签,分数,打分人数,影片时长(分钟),长评数量,短评数量,简介,
电影名字,播放数量,弹幕数量,追剧数量,投币数量,点赞数量,标签,分数,打分人数,影片时长(分钟),长评数量,短评数量,简介,
特利迦奥特曼 泽塔篇,3563000,20000,1610000,10000,50000,热血战斗科幻少儿,9.6,3576,已完结, 全1话,13,1401,简介：剑悟变成特利迦奥特曼，为了守护大家的笑容，在永恒核心里消失了。时间推进到特利迦消失的两年后，时冈代理队长率领精英胜利队想方设法复活在永恒核心中消失的真中剑悟。在众人的不懈努力下，终于复活了剑悟。剑悟复活后取回了特利迦的力量，结果在面对新的怪兽时，陷入了苦战。就在特利迦难以招架的时候，泽塔奥特曼跨越宇宙次元，再次来到地球前来帮助特利迦。没想到随着事情的发展，遥辉发现了事情的背后居然浮现出了宿敌赛雷布洛的影子。于是，遥辉开始追查赛雷布洛的踪迹。三千万年前超古代人的残党，他与赛雷布洛联手，试图获取剑悟的光...,
特利迦奥特曼 泽塔篇（中配）,1407000,2219,1610000,1064,4501,热血战斗科幻少儿,8.8,288,已完结, 全1话,1,92,简介：剑悟变成特利迦奥特曼，为了守护大家的笑容，在永恒核心里消失了。时间推进到特利迦消失的两年后，时冈代理队长率领精英胜利队想方设法复活在永恒核心中消失的真中剑悟。在众人的不懈努力下，终于复活了剑悟。剑悟复活后取回了特利迦的力量，结果在面对新的怪兽时，陷入了苦战。就在特利迦难以招架的时候，泽塔奥特曼跨越宇宙次元，再次来到地球前来帮助特利迦。没想到随着事情的发展，遥辉发现了事情的背后居然浮现出了宿敌赛雷布洛的影子。于是，遥辉开始追查赛雷布洛的踪迹。三千万年前超古代人的残党，他与赛雷布洛联手，试图获取剑悟的光...,
不负青山,129000,125,3408,304,1809,人文自然,暂无评分,评分人数不足,已完结，共1集,0,4,简介：纪录片《不负青山》讲述的是发生在浙江临海林场的感人故事，跨越六十五载，三代护林党员艰苦奋斗、改革兴业、绿色发展，在他们的“红色接力”中，敢教荒山换新颜，守得青山拓金山，把昔日无人问津的“帽子山”变成幅员5.7万亩的国家森林公园。,
丛林有情狼,144000,624,7908,324,6810,冒险爱情动画喜剧,暂无评分,评分人数不足,88,1,39,简介：加拿大绿宝石国家公园生活着两群完全不相来往的两群狼，其中凯特（海顿·潘妮蒂尔 Hayden Panettiere 配音）是西部狼群首领的女儿，对她来说原则、职责和责任重于一切；亨弗雷（贾斯汀·朗 Justin Long 配音）则来自另一个狼群，成天嘻嘻哈哈，无忧无虑，是个享受派。凯特即将嫁给东部狼群首领的儿子加斯（克里斯·卡马克 Chris Carmack 配音），并不是为了爱情，而是为了阻止两只狼群之间即将爆发的一场可怕战争。世事难料，就在婚礼当天，凯特和亨弗雷被森林管理员抓走送去了爱达荷州的“锯齿”国家公园，为了避免组群见不必要的战争，俩人逃离...,
Lucky 7 baby 第6季,437000,7397,3979,3196,12000,真人秀,暂无评分,评分人数不足,连载中,0,28,简介：《LUCKY 7 BABY》 是丝芭传媒旗下女团 7SENSES 的团队综艺，记录了团队内成员工作、生活发生的点滴趣事。自2017年更新以来，已经连载至第六季，本季将时隔两年迎来成员许佳琪和赵粤的回归，她们将与戴萌、张语格、许杨玉琢、陈琳一起继续踏上Lucky的快乐旅途！,
来不及爱你,32000,11,508,46,4020,剧情,暂无评分,评分人数不足,,0,0,简介：《来不及爱你》讲述了一位患了癌症的父亲与女儿之间朴素而又真挚的情感。父亲黄春生，一位40多岁的普通市民，为人忠厚淳朴，待人谦和礼让，内心深处虽充满了成为英雄的渴望，却从来不曾有过什么壮举。他17年前丧偶，独自一人拉扯着女儿黄心仪过活。,
预见未来,1510000,12000,36000,2291,17000,动作犯罪惊悚科幻,9.3,615,96,1,123,简介：尽管很多人觉得拥有超能力是一件好事，但事实却偏偏和想象中相反。克里斯（尼古拉斯•凯奇 Nicolas Cage 饰）天生具有预测未来的能力，但他从小就在痛苦中度过：各种机构、政府、医院都对他极感兴趣，以至他快乐的童年都在测试和研究中度过。成年后的克里斯隐形埋名混迹于赌城拉斯维加斯，不时去赌博一下赢点小钱。,
罗莎妈妈,19000,17,851,34,2856,剧情,暂无评分,评分人数不足,110,0,2,简介：罗莎妈妈有4个孩子。她在菲律宾首都马尼拉一处破旧的居民区经营者一家小杂货店。为了维持生计，罗莎和他的丈夫Nester开始倒卖麻醉针剂。一天，他们被警方逮捕。罗莎和她的孩子们愿意做任何事以从腐败的警察手中换取自由。,
雾都孤儿,255000,1568,14000,389,6838,剧情家庭,9.6,107,130,0,26,简介：本片根据英国作家狄更斯1838年的名著《雾都孤儿》改编。孤儿奥利弗（巴尼•克拉克 Barney Clark 饰）由教会抚养长大，9岁时被送去童工厂拣填絮，后被卖给棺材铺当学徒，屡受欺侮。奥利弗从棺材铺逃跑，步行七十英里到达伦敦，遇见小偷“机灵鬼”（哈利•伊登 Harry Eden 饰），并被收入犹太老头费金（本•金斯利 Ben Kinsley 饰）的盗窃团伙。,
红粉佳人,23000,146,1072,43,2707,爱情剧情喜剧,暂无评分,评分人数不足,96,0,2,简介：年轻的安迪是出身贫民区的女孩，在中学里并不受人欢迎。她经常同爱欧娜和达奇在一起，达奇迷恋安迪已久，但最近安迪结识了新生布雷恩，布雷恩的家境优越，对安迪构成了不小的诱惑……,
神奇乐园历险记,36000,80,1297,61,3277,冒险动画喜剧奇幻,暂无评分,评分人数不足,86,0,4,简介：一位极富创造力的女孩小六月，偶然间发现了一座神奇的乐园。在乐园里，有着各式各样惊险刺激的游乐设施和形形色色的动物朋友。在这个奇幻的世界里，将会发生怎样意想不到的故事呢？,
回家过圣诞,27000,15,578,21,2861,爱情,暂无评分,评分人数不足,84,0,0,简介：莉齐从小失去了父亲，母亲带着她和姐姐梅根长大，一家人的传统就是在圣诞节当天围在家中的火炉旁享受这一美好的时刻，多年来这一传统从未改变。圣诞将至，梅根因工作需要接触到马利家族的遗产继承人罗伯特，他需要尽快找到买主来处理掉祖上在阿什福德的大房子，梅根是这笔生意的经理人。罗伯特告诉梅根需要一个房屋看护人，直到房子交易当天，都需要在阿什福德的别墅中看守房屋，梅根想到了自己刚刚失业的妹妹莉齐。莉齐来到阿什福德的别墅，这里的一切都显得与她格格不入，她慢慢发现，马利家族中的祖母皮帕并不想卖掉房子，这里承载着家族许...,
埃尔塞：差点改变世界的人,36000,56,1667,38,3155,剧情,暂无评分,评分人数不足,110,0,1,简介：《埃尔塞: 将近改变世界的人》讲述的是刺杀希特勒事件，但影片里的史实比《行动目标希特勒》要早几年。1939年。希特勒差一点被一个名叫埃尔塞的木匠干掉。那一年，希特勒的权力正在逐渐迈向顶峰，当大多数人都在狂热崇拜之时，埃尔塞成了少数几个的正义斗士。在精密的计划之下，他在希特勒演讲的讲台附近设置一个定时炸弹。可惜的是，希特勒的演讲结束得太早，炸弹引爆时希特勒已经不在现场。埃尔塞在当年11月遭到了纳粹的逮捕，遭处决。影片讲述了一段惊心动魄的故事，本土演员的演出保持了原汁原味。,
天罗地网,93000,589,5053,113,3415,爱情犯罪惊悚,暂无评分,评分人数不足,113,0,4,简介：烈日当头，纽约大都会艺术博物馆，一幅正在展出的印象派大师莫内的无价名画失窃。高明的盗窃手段，加上因高温完全失效的红外线监控系统，都让这起神秘的失窃案更加扑朔迷离。亿万富翁托马斯·克劳恩（皮尔斯·布鲁斯南 Pierce Brosnan饰），一位富可敌国的上流富商兼收藏家。当金钱再也不能带给他任何满足感时，唯有那些金钱买不到的东西才能引起他的兴趣，比如这件无价之宝。美貌聪慧的女调查员凯瑟琳·班宁（蕾妮·罗素 Rene Russo饰）负责全权处理此失窃事件。与此同时，警方也派出了精明的迈克尔·麦克甘（丹尼斯·利瑞 Denis Leary饰）警官调查...,
窗台上的男人,84000,918,5008,229,4162,犯罪惊悚,暂无评分,评分人数不足,102,0,26,简介：尼克·卡西迪（萨姆·沃辛顿 Sam Worthington 饰）曾经是一名正直负责的警察，却因涉嫌盗窃4000万美元的钻石而获刑25年监禁。他唯一一个离开监狱的机会就是参加父亲葬礼，并在葬礼上趁机逃跑。然而令人不解的是，他并没有出境，而是到曼哈顿酒店开了个24楼的房间，精心擦洗一番后，只为在最繁华的纽约的注视中坠楼。他的举动很快引来了大批警察和媒体，一名年轻的谈判专家莉迪亚（伊丽莎白·班克斯 Elizabeth Banks 饰）试图将其劝回屋内，然而在循序渐进的劝说中，莉迪亚意识到尼克是被钻石的拥有者大卫（艾德·哈里斯 Ed Harris 饰）陷害入狱的，...,
神偷燕子李三,59000,133,1129,31,3062,动作剧情奇幻,暂无评分,评分人数不足,91,0,3,简介：民国时，燕子李三（元彪 饰）劫富济贫，有侠盗之名。他出入深宅大院如入无人之境；他为了寻找失散的心上人金兰（朱茵 饰）解救了多名少女；他帮助落魄军人洪来福（徐锦江 饰）救治老母。京城侦缉队唐队长被其多次戏弄，却始终无法一睹李三真容。李三进入军阀马司令家中行窃，发现这里居然收藏着失落的清朝玉玺。失势的清朝庆王府派出护院张禄（高雄 饰）夺回玉玺，李三得以和张禄师兄弟相认，原来李三当年被权贵抢走了挚爱金兰，流落江湖后拜张禄的师父为师，始学得一身武艺，从此任侠京城，同时遍访青楼，寻找金兰的下落。经洪来福等人帮助，...,
巴西反贪第一案,31000,12,1025,74,3559,动作犯罪,暂无评分,评分人数不足,115,0,1,简介： 本片改编自“洗车运动”真实事件，关于巴西史上最大贪腐案的成功调查，通过侦探调查员伊万的视角，讲述了他以及在巴西联邦警方的团队如何与巴西联邦检察官合作，揭露这场错综复杂的洗钱贪腐计划，以及在巴西国家石油公司高管，政府承包商，政党和各级政府官员包括国会两院和内阁部长，现任和前任巴西总统之间的行贿与受贿。全片惊心动魄地展现了调查人员们面临的冲突危险等细节过程，以及阻挠调查的各种障碍，还有联邦法官关键人物如何顶着巨大压力阻止官员毁灭案件证据而逍遥法外。伊万与他的团队通过一步一步的调查过程，将一开始只...,
爱情无色无味,26000,34,972,20,2844,爱情剧情悬疑,暂无评分,评分人数不足,121,1,1,简介：莱昂（安东尼·拉帕格利亚 Anthony LaPaglia 饰）人到中年，和妻子索尼娅（凯瑞·阿姆斯特朗 Kerry Armstrong 饰）之间的关系早已经十分疏远，名存实亡。家庭之外，莱昂有着一位交往甚密的情人简（蕾切尔·布雷克 Rachael Blake 饰），在简那里，莱昂能够短暂的找回自信和激情。索尼娅察觉到了丈夫的异样，但是她选择将一切的愤怒和痛苦隐藏在心底。心理治疗师瓦莱丽（芭芭拉·赫希 Barbara Hershey 饰）是索尼娅的树洞，常常开导和安危她，可是，瓦莱丽也必须面对自己内心里的黑洞——她的女儿成为了一场谋杀案中的受害者，她至今无法从失去女儿的...,
花姊妹风流债,39000,9,329,20,2807,剧情,暂无评分,评分人数不足,,0,0,简介：《花姊妹风流债》讲述了被人称做花神的花农钟大农，有三个生得如花似玉的女儿。他的重男轻女的传统观念害得女儿都远在外地。钟大农要做50大寿，大女儿瓣瓣从美国、二女儿蕊蕊从马来西亚、三女儿朵朵从日本陆续回来，家里一片喜庆的气氛。朵朵是位红遍东南亚的歌星，可是父亲嫌她轻浮仍不喜欢她；温顺、善良的蕊蕊常被父亲在众人面前辱骂；热情、开朗的瓣瓣动不动就被父亲呵斥。影片描述了钟大农与钟家三姐妹之间的喜怒哀乐。,
情义两重天,31000,7,330,16,3131,爱情剧情,暂无评分,评分人数不足,87,0,2,简介：已离婚三年的南方、菲美正分别沉浸在要再婚的幸福中，但他们的独生女儿娜娜却突患绝症，唯一的治疗办法是吸取与娜娜相同血缘的新生儿的脐血进行脐血干细胞移植，这意味着南方和菲美必须再生一个孩子以拯救娜娜的生命，然而他们都已有了自己热恋中的情人，此时此刻是为了爱情背叛道义，还是不要爱情拯救孩子？四个大人于是为了救不救孩子、怎么救孩子陷入了艰难而痛苦的两难抉择！,
